station_id,station_name,timestamp,weather_date,hour_of_day,temperature_celsius,humidity_percent,pressure_hpa,wind_speed_ms,precipitation_mm,weather_condition,uv_index,sessions_during_weather,energy_during_weather,avg_duration_during_weather
461758,Bradville Square Shopping Center,2025-10-21T02:16:28,2025-10-21,2,21.47,52.0,1017.0,2.06,0.0,Clear,0.0,0,,
461554,The Bite Tumalo,2025-10-21T02:16:41,2025-10-21,2,10.37,55.0,1025.0,1.54,0.0,Clear,0.0,0,,
461275,Goodwill,2025-10-21T02:11:03,2025-10-21,2,9.35,73.0,1004.0,6.69,0.0,Clouds,0.0,0,,
461370,Miller Hill Super One,2025-10-21T02:11:01,2025-10-21,2,7.23,80.0,1000.0,8.23,0.0,Clouds,0.0,0,,
461757,Dutch Bros Coffee,2025-10-21T02:16:29,2025-10-21,2,21.61,52.0,1017.0,2.06,0.0,Clear,0.0,0,,
461167,Pats Food Freeland,2025-10-21T02:11:08,2025-10-21,2,9.23,74.0,1011.0,3.09,0.0,Clear,0.0,0,,
470696,Trailborn Grand Canyon,2025-12-10T07:28:02,2025-12-10,7,-2.33,64.0,1024.0,4.12,0.0,Clear,0.0,0,,
461171,Hamilton CNG Filling Station,2025-10-21T02:16:58,2025-10-21,2,12.61,63.0,1012.0,1.34,0.0,Clear,0.0,0,,
462226,IONNA Raleigh Rechargery Relay,2025-10-21T02:10:30,2025-10-21,2,10.42,78.0,1018.0,0.0,0.0,Clear,0.0,0,,
469612,"Dennys - Auburn, WA",2025-12-10T07:28:23,2025-12-10,7,11.31,96.0,1013.0,8.75,0.65,Rain,0.0,0,,
462227,IONNA Middletown Rechargery Relay,2025-10-21T02:16:21,2025-10-21,2,8.62,79.0,1016.0,1.35,0.0,Clear,0.0,0,,
461628,Petro Corning #309,2025-10-21T02:16:39,2025-10-21,2,22.14,23.0,1016.0,2.17,0.0,Clear,0.0,0,,
469749,"Ionna Reading, MA Rechargery Relay",2025-12-10T07:28:15,2025-12-10,7,0.19,73.0,1011.0,5.14,0.0,Clouds,0.0,0,,
469499,Renewable Grid - Glen Cove Fast Charging,2025-12-10T07:28:25,2025-12-10,7,1.07,72.0,1012.0,1.79,0.0,Clouds,0.0,0,,
