station_id,station_name,city,state,operator,total_sessions,total_energy_kwh,avg_duration_minutes,avg_cost,total_revenue,active_days,last_session,first_session,charging_points_count,avg_power_kw,open_anomalies
460201,Krazyfish Grille,Port St Joe,Florida,(Business Owner at Location),17,709.49,89.11764705882354,15.088235294117647,256.5,7,2025-12-10T18:03:00.277137,2025-12-04T06:00:00.278104,0,,0
460207,"Thorntons #701 - Largo, FL",Largo,FL,BP Pulse (US),20,910.21,94.5,16.591,331.82,7,2025-12-10T19:20:00.276524,2025-12-04T15:01:00.277093,0,,0
460208,"Thorntons #710 - Petersburg, FL",St. Petersburg,FL,BP Pulse (US),17,552.71,90.88235294117646,9.055882352941177,153.95,7,2025-12-10T22:15:00.276271,2025-12-04T16:43:00.276507,0,,0
460209,"Flying J Travel Center #626 St. Augustine, FL",St. Augustine,FL,eVgo Network,25,1202.67,96.0,16.4624,411.56,7,2025-12-10T21:57:00.275762,2025-12-04T14:46:00.27621,0,,0
460210,"Pilot Travel Center #222 Sturbridge, MA",Sturbridge,FL,eVgo Network,21,1006.08,92.14285714285714,15.375714285714286,322.89,7,2025-12-10T09:59:00.275281,2025-12-04T16:08:00.275744,0,,0
460211,"Flying J Travel Center #716 Sioux Falls, SD",Sioux Falls,SD,eVgo Network,21,1033.71,97.14285714285714,18.29,384.09,7,2025-12-10T18:04:00.274941,2025-12-04T01:32:00.275219,0,,0
460212,"Ikea - Emeryville, CA",Emeryville,CA,Electrify America,25,890.68,76.2,12.2556,306.39,7,2025-12-10T09:37:00.274397,2025-12-04T07:45:00.274862,0,,0
460213,"IKEA - Norfolk, VA",Norfolk,VA,Electrify America,17,997.32,116.47058823529412,19.785882352941176,336.36,7,2025-12-10T19:28:00.274069,2025-12-04T11:38:00.27427,0,,0
460215,Tri-City Shopping Center,Redlands,CA,eVgo Network,20,1032.98,99.0,16.471,329.42,7,2025-12-10T17:49:00.273698,2025-12-04T17:42:00.274036,0,,0
460263,Rivian Adventure Network,St. Regis,Montana,Rivian Adventure Network,22,891.41,83.86363636363636,13.795454545454545,303.5,7,2025-12-10T19:15:00.273289,2025-12-04T06:27:00.27365,0,,0
460318,EVgo,North Bend,Washington,eVgo Network,22,837.0,83.86363636363636,10.848636363636363,238.67,7,2025-12-10T21:38:00.294881,2025-12-04T18:30:00.295218,0,,0
460320,"Ionna - Daly City, CA",Daly City,CA,IONNA,22,948.34,94.77272727272727,13.835,304.37,7,2025-12-10T19:53:00.294391,2025-12-04T08:43:00.294856,0,,0
460321,IONNA - Gilman Rechargery Relay,Gilman,IL,IONNA,22,835.06,87.95454545454545,12.924090909090909,284.33,7,2025-12-10T19:57:00.293747,2025-12-04T01:39:00.294257,0,,0
