station_id,station_name,city,state,hour_of_day,day_of_week,day_name,session_count,total_energy_kwh,avg_duration_minutes
460954,"Flying J Travel Center #671 Matthews, MO",Matthews,MO,2,0,Sunday,1,9.53,60.0
461546,"Pilot Travel Center #1051 Iowa, LA",Iowa,LA,18,0,Sunday,1,45.97,60.0
460328,Ionna Concord Rechargery,Concord,NC,14,5,Friday,1,39.05,120.0
461628,Petro Corning #309,Corning,CA,14,3,Wednesday,1,15.78,90.0
460209,"Flying J Travel Center #626 St. Augustine, FL",St. Augustine,FL,7,2,Tuesday,1,54.22,120.0
460484,L2 near Ball&Chain,Miami,Florida,22,2,Tuesday,1,11.09,90.0
469807,OUC ReCharge EV Hub at OCCC,Orlando,FL,7,0,Sunday,1,45.04,60.0
460211,"Flying J Travel Center #716 Sioux Falls, SD",Sioux Falls,SD,15,5,Friday,1,47.38,60.0
461307,Fas Mart,Grand Haven,MI,23,2,Tuesday,1,27.75,60.0
460320,"Ionna - Daly City, CA",Daly City,CA,8,2,Tuesday,2,56.16,82.5
460571,Exxon Utica,Utica,MI,6,5,Friday,1,95.72,180.0
461275,Goodwill,St. Louis Park,MN,19,5,Friday,1,36.47,120.0
460318,EVgo,North Bend,Washington,2,1,Monday,1,76.14,120.0
469253,Lenexa Justice Center,Lenexa,KS,23,6,Saturday,1,11.91,60.0
460606,Destination Charger,Columbia Falls,Montana,16,4,Thursday,1,21.57,90.0
460429,Ruby's Inn General Store - Tesla Supercharger,Bryce Canyon City,Utah,11,3,Wednesday,1,26.13,180.0
460504,Marketplace Foods,Minot,ND,12,0,Sunday,1,27.9,90.0
461757,Dutch Bros Coffee,Sacramento,CA,13,1,Monday,1,46.34,60.0
460606,Destination Charger,Columbia Falls,Montana,19,3,Wednesday,1,31.84,60.0
461170,Hamilton Market St,Hamilton,OH,7,5,Friday,1,20.36,120.0
460506,Wentworth-Douglass Hospital,Dover,NH,9,4,Thursday,1,40.97,90.0
460606,Destination Charger,Columbia Falls,Montana,4,0,Sunday,1,75.6,120.0
461171,Hamilton CNG Filling Station,Hamilton,OH,4,6,Saturday,1,18.57,60.0
461550,"Flying J Travel Center #706 Tulsa, OK",Tulsa,OK,16,5,Friday,1,37.43,60.0
470651,"Starbucks - Ridgefield, WA",Ridgefield,WA,17,6,Saturday,1,82.94,120.0
460384,Mendocino Marketplace,Santa Rosa,CA,20,5,Friday,1,16.32,60.0
461554,The Bite Tumalo,Tumalo,OR,9,2,Tuesday,1,53.23,90.0
460384,Mendocino Marketplace,Santa Rosa,CA,2,6,Saturday,1,10.71,60.0
460632,Parsons Chevy - Eagle River,Eagle River,WI,22,5,Friday,1,12.94,30.0
460212,"Ikea - Emeryville, CA",Emeryville,CA,10,2,Tuesday,1,14.86,45.0
460484,L2 near Ball&Chain,Miami,Florida,9,2,Tuesday,1,54.77,120.0
462227,IONNA Middletown Rechargery Relay,Middletown,MD,1,5,Friday,1,5.77,45.0
460208,"Thorntons #710 - Petersburg, FL",St. Petersburg,FL,13,0,Sunday,1,8.12,60.0
460485,Safeway,Martinez,CA,23,1,Monday,1,19.24,60.0
469399,Elkhorn Shopping Center,Sacramento,CA,15,4,Thursday,1,64.46,90.0
470662,"Kittery Premium Outlets - Kittery, ME",Kittery,ME,7,5,Friday,1,97.53,240.0
460318,EVgo,North Bend,Washington,8,1,Monday,1,17.98,60.0
461307,Fas Mart,Grand Haven,MI,15,6,Saturday,1,19.97,30.0
469807,OUC ReCharge EV Hub at OCCC,Orlando,FL,18,5,Friday,1,18.67,90.0
462225,IONNA Beaver Rechargery Relay,Beaver,UT,10,4,Thursday,1,43.38,120.0
460345,Central Co-op,Tacoma,WA,20,0,Sunday,1,38.1,120.0
461543,Garcia Bend Park,Sacramento,CA,13,1,Monday,1,26.01,60.0
462098,Wawa Supercharger,Staunton,VA,11,5,Friday,1,190.79,240.0
460953,"Flying J Travel Center #690 Lordsburg, NM",Lordsburg,NM,7,0,Sunday,2,43.36,90.0
460955,"Flying J Travel Center #572 Williams, IA",Williams,IA,14,0,Sunday,1,12.03,90.0
461050,Mitra EV DCFC - Sierra Pacific,Rancho Cordova,CA,8,6,Saturday,1,24.25,90.0
460671,FPL,Pensacola,Florida,23,4,Thursday,1,24.69,90.0
460368,"bp pulse - Duarte, CA",Duarte,CA,2,2,Tuesday,1,10.82,90.0
460503,Futurama near Ball & Chain,Miami,Florida,7,5,Friday,1,44.6,60.0
460345,Central Co-op,Tacoma,WA,20,5,Friday,1,53.3,90.0
470651,"Starbucks - Ridgefield, WA",Ridgefield,WA,23,6,Saturday,1,29.71,90.0
470652,"Starbucks - Phoenix, OR",Phoenix,OR,19,6,Saturday,1,65.15,90.0
462111,Shell - Novi,Novi,MI,8,0,Sunday,1,78.34,120.0
462225,IONNA Beaver Rechargery Relay,Beaver,UT,2,5,Friday,1,22.41,180.0
470312,Safeway,Hercules,CA,0,4,Thursday,1,77.32,240.0
460606,Destination Charger,Columbia Falls,Montana,17,5,Friday,1,58.47,90.0
461050,Mitra EV DCFC - Sierra Pacific,Rancho Cordova,CA,17,6,Saturday,1,31.37,60.0
462228,IONNA Kutztown Rechargery @ Sheetz,Kutztown,PA,21,4,Thursday,1,29.87,180.0
461166,Gladwin City Hall,Gladwin,MI,19,2,Tuesday,1,14.16,45.0
460484,L2 near Ball&Chain,Miami,Florida,9,4,Thursday,1,81.5,120.0
461307,Fas Mart,Grand Haven,MI,3,5,Friday,1,24.82,60.0
460210,"Pilot Travel Center #222 Sturbridge, MA",Sturbridge,FL,16,4,Thursday,1,23.1,45.0
